item_key,item_type,grade,parts,gear_type,gear_group,item_synthesis_type,name_key,description_key,gear_key,drop_key,drop_cooldown,level,is_steam_item,icon_path,is_bucket_box,is_deleted_in_server,is_can_exchange_marketable,is_temp_marketable_false,name_pt_br,name_en_us,description_pt_br,description_en_us
910011,STAGEBOX,COMMON,,,,,Normal Monster Box 1,,,9100111,3,,True,Item_910011,True,,,,Normal Monster Box 1,Normal Monster Box 1,,
910051,STAGEBOX,COMMON,,,,,Normal Monster Box 2,,,9100511,3,,True,Item_910011,True,,,,Normal Monster Box 2,Normal Monster Box 2,,
910101,STAGEBOX,COMMON,,,,,Normal Monster Box 3,,,9101011,3,,True,Item_910011,True,,,,Normal Monster Box 3,Normal Monster Box 3,,
910151,STAGEBOX,COMMON,,,,,Normal Monster Box Lv15,,,9101511,5,,True,Item_910011,True,,,,Normal Monster Box Lv15,Normal Monster Box Lv15,,
910201,STAGEBOX,COMMON,,,,,Normal Monster Box Lv20,,,9102011,5,,True,Item_910011,True,,,,Normal Monster Box Lv20,Normal Monster Box Lv20,,
910251,STAGEBOX,COMMON,,,,,Normal Monster Box Lv25,,,9102011,5,,True,Item_910011,True,True,,,Normal Monster Box Lv25,Normal Monster Box Lv25,,
910301,STAGEBOX,COMMON,,,,,Normal Monster Box Lv30,,,9103011,5,,True,Item_910011,True,,,,Normal Monster Box Lv30,Normal Monster Box Lv30,,
910351,STAGEBOX,COMMON,,,,,Normal Monster Box Lv35,,,9103011,5,,True,Item_910011,True,True,,,Normal Monster Box Lv35,Normal Monster Box Lv35,,
910401,STAGEBOX,COMMON,,,,,Normal Monster Box Lv40,,,9104011,5,,True,Item_910011,True,,,,Normal Monster Box Lv40,Normal Monster Box Lv40,,
910451,STAGEBOX,COMMON,,,,,Normal Monster Box Lv45,,,9104011,5,,True,Item_910011,True,True,,,Normal Monster Box Lv45,Normal Monster Box Lv45,,
910501,STAGEBOX,COMMON,,,,,Normal Monster Box Lv50,,,9105011,5,,True,Item_910011,True,,,,Normal Monster Box Lv50,Normal Monster Box Lv50,,
910551,STAGEBOX,COMMON,,,,,Normal Monster Box Lv55,,,9105011,5,,True,Item_910011,True,True,,,Normal Monster Box Lv55,Normal Monster Box Lv55,,
910601,STAGEBOX,COMMON,,,,,Normal Monster Box Lv60,,,9105011,5,,True,Item_910011,True,True,,,Normal Monster Box Lv60,Normal Monster Box Lv60,,
910651,STAGEBOX,COMMON,,,,,Normal Monster Box Lv65,,,9106511,5,,True,Item_910011,True,,,,Normal Monster Box Lv65,Normal Monster Box Lv65,,
910701,STAGEBOX,COMMON,,,,,Normal Monster Box Lv70,,,9106511,5,,True,Item_910011,True,True,,,Normal Monster Box Lv70,Normal Monster Box Lv70,,
